073-man-pages	man-pages-6.17.tar.xz
074-iana-etc	iana-etc-20260202.tar.gz
075-glibc	glibc-2.43.tar.xz
076-zlib	zlib-1.3.2.tar.gz
077-bzip2	bzip2-1.0.8.tar.gz
078-xz	xz-5.8.2.tar.xz
079-lz4	lz4-1.10.0.tar.gz
080-zstd	zstd-1.5.7.tar.gz
081-file	file-5.46.tar.gz
082-readline	readline-8.3.tar.gz
083-pcre2	pcre2-10.47.tar.bz2
084-m4	m4-1.4.21.tar.xz
085-bc	bc-7.0.3.tar.xz
086-flex	flex-2.6.4.tar.gz
087-tcl	tcl8.6.17-src.tar.gz
088-expect	expect5.45.4.tar.gz
089-dejagnu	dejagnu-1.6.3.tar.gz
090-pkgconf	pkgconf-2.5.1.tar.xz
091-binutils	binutils-2.46.0.tar.xz
092-gmp	gmp-6.3.0.tar.xz
093-mpfr	mpfr-4.2.2.tar.xz
094-mpc	mpc-1.3.1.tar.gz
095-attr	attr-2.5.2.tar.gz
096-acl	acl-2.3.2.tar.xz
097-libcap	libcap-2.77.tar.xz
098-libxcrypt	libxcrypt-4.5.2.tar.xz
099-shadow	shadow-4.19.3.tar.xz
100-gcc	gcc-15.2.0.tar.xz
101-ncurses	ncurses-6.6.tar.gz
102-sed	sed-4.9.tar.xz
103-psmisc	psmisc-23.7.tar.xz
104-gettext	gettext-1.0.tar.xz
105-bison	bison-3.8.2.tar.xz
106-grep	grep-3.12.tar.xz
107-bash	bash-5.3.tar.gz
108-libtool	libtool-2.5.4.tar.xz
109-gdbm	gdbm-1.26.tar.gz
110-gperf	gperf-3.3.tar.gz
111-expat	expat-2.7.4.tar.xz
112-inetutils	inetutils-2.7.tar.gz
113-less	less-692.tar.gz
114-perl	perl-5.42.0.tar.xz
115-xml-parser	XML-Parser-2.47.tar.gz
116-intltool	intltool-0.51.0.tar.gz
117-autoconf	autoconf-2.72.tar.xz
118-automake	automake-1.18.1.tar.xz
119-openssl	openssl-3.6.1.tar.gz
120-libelf	elfutils-0.194.tar.bz2
121-libffi	libffi-3.5.2.tar.gz
122-sqlite	sqlite-autoconf-3510200.tar.gz
123-Python	Python-3.14.3.tar.xz
124-flit-core	flit_core-3.12.0.tar.gz
125-packaging	packaging-26.0.tar.gz
126-wheel	wheel-0.46.3.tar.gz
127-setuptools	setuptools-82.0.0.tar.gz
128-ninja	ninja-1.13.2.tar.gz
129-meson	meson-1.10.1.tar.gz
130-kmod	kmod-34.2.tar.xz
131-coreutils	coreutils-9.10.tar.xz
132-diffutils	diffutils-3.12.tar.xz
133-gawk	gawk-5.3.2.tar.xz
134-findutils	findutils-4.10.0.tar.xz
135-groff	groff-1.23.0.tar.gz
136-grub	grub-2.14.tar.xz
137-gzip	gzip-1.14.tar.xz
138-iproute2	iproute2-6.18.0.tar.xz
139-kbd	kbd-2.9.0.tar.xz
140-libpipeline	libpipeline-1.5.8.tar.gz
141-make	make-4.4.1.tar.gz
142-patch	patch-2.8.tar.xz
143-tar	tar-1.35.tar.xz
144-texinfo	texinfo-7.2.tar.xz
145-vim	vim-9.2.0078.tar.gz
146-markupsafe	markupsafe-3.0.3.tar.gz
147-jinja2	jinja2-3.1.6.tar.gz
148-systemd	systemd-259.1.tar.gz
149-dbus	dbus-1.16.2.tar.xz
150-man-db	man-db-2.13.1.tar.xz
151-procps-ng	procps-ng-4.0.6.tar.xz
152-util-linux	util-linux-2.41.3.tar.xz
153-e2fsprogs	e2fsprogs-1.47.3.tar.gz
